"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","draft_year","birthdate","injury_status","injury_details","season_year","week"
"Philip Rivers","LAC","QB","7394","weighted",4227.16747122657,321.494099608254,28.3330483393621,2.58006835753796,13.2669944097336,1.43399982834996,21.7654072125397,13.1993409450336,0.0967377406415916,0.194246696721804,2.15204866820125,0.849818224034009,2.22081552121013,0.648778263123571,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,1981-12-08,NA,NA,NA,NA
"Philip Rivers","IND","QB","7394","weighted",4227.16747122657,321.494099608254,28.3330483393621,2.58006835753796,13.2669944097336,1.43399982834996,21.7654072125397,13.1993409450336,0.0967377406415916,0.194246696721804,2.15204866820125,0.849818224034009,2.22081552121013,0.648778263123571,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,1981-12-08,NA,NA,NA,NA
"Aaron Rodgers","GB","QB","7836","weighted",4254.41933903321,175.987617306893,29.1925780993094,2.56181155502787,7.24759618546531,2.18146311877649,242.244913186452,31.6048471763384,1.81614418622366,0.452324310962133,2.76926997698126,0.864310112667328,2.64819138441302,0.293247774931854,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,1983-12-02,NA,NA,NA,NA
"Matthew Stafford","DET","QB","9431","weighted",4116.98230287399,257.18415909549,25.4459837877671,2.43557049836601,11.5962527634488,2.09824883864956,86.7944767870302,19.3978715345465,0.633417575369602,0.437346664606361,3.12462048636699,1.17558524544983,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,1988-02-07,NA,NA,NA,NA
"Matthew Stafford","DET","QB","9431","weighted",4116.98230287399,257.18415909549,25.4459837877671,2.43557049836601,11.5962527634488,2.09824883864956,86.7944767870302,19.3978715345465,0.633417575369602,0.437346664606361,3.12462048636699,1.17558524544983,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2003-05-23,NA,NA,NA,NA
"Jameis Winston","TB","QB","12140","weighted",2819.24350773766,2141.79264918205,18.0426013264554,13.9297877106665,10.147888725129,8.03028749045234,173.067608695652,135.049360781982,0.89338015843773,0.896518149377986,1.39425847457627,0.893583961933727,1.24345983787767,0.138437492096787,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,1994-01-06,NA,NA,NA,NA
"Jameis Winston","NO","QB","12140","weighted",2819.24350773766,2141.79264918205,18.0426013264554,13.9297877106665,10.147888725129,8.03028749045234,173.067608695652,135.049360781982,0.89338015843773,0.896518149377986,1.39425847457627,0.893583961933727,1.24345983787767,0.138437492096787,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,1994-01-06,NA,NA,NA,NA
"Jimmy Garoppolo","SF","QB","11760","weighted",4134.02330812233,363.301476307755,26.5887635646169,3.61722148457474,15.1279052943111,3.83830914803734,94.5827195001644,32.5416821827818,1.10420244104875,0.536221432804996,2.61237224597172,0.900401064125624,1.21974679381782,0.116780087362243,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,1991-11-02,NA,NA,NA,NA
"Kyler Murray","ARI","QB","14056","weighted",3683.81416639263,393.005273976953,21.6729727063466,4.25054316138153,13.4878296612956,3.13909077064713,499.119670503124,121.731258440511,3.56963853835976,0.89364565412949,2.85794146662282,0.945012237975104,1.18556395922394,0.0986142959947827,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1997-08-07,NA,NA,NA,NA
"Carson Wentz","PHI","QB","12610","weighted",4193.80299557848,165.400499909988,29.8926713338246,1.96892598138214,10.3919896831245,1.64045662773471,215.79145541636,22.3008821191192,1.60352220211176,0.577511975764252,3.95843625644805,1.68501672673058,2.67907148120855,0.44299997470972,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1992-12-30,NA,NA,NA,NA
"Andrew Luck","IND","QB","10695","weighted",1951.88614540466,3058.23682863182,15.3443072702332,24.0416305603426,6.31824417009602,9.89949493661166,99.2866941015089,155.56349186104,0.451303155006859,0.707106781186547,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1989-09-12,NA,NA,NA,NA
"Andrew Luck","FA","QB","10695","weighted",1951.88614540466,3058.23682863182,15.3443072702332,24.0416305603426,6.31824417009602,9.89949493661166,99.2866941015089,155.56349186104,0.451303155006859,0.707106781186547,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1989-09-12,NA,NA,NA,NA
"Deshaun Watson","HOU","QB","13113","weighted",4071.88922393949,125.745932393216,27.3243406774087,2.0364229755419,11.9692042091417,2.11915028308148,497.277358105886,57.6688300015333,4.53812172050761,0.693270192899513,2.64362051956593,0.6382688221247,2.40679052943111,0.262106418301923,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-09-14,NA,NA,NA,NA
"Derek Carr","OAK","QB","11644","weighted",4026.86628740546,257.503460353838,23.4265932259125,2.00812024272609,11.6158237421901,1.34525946779216,68.6636665570536,18.9865745147908,1.02372222353247,0.73430623908897,3.47416770799079,1.32418568928935,1.24416310424203,0.129755652624714,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,1991-03-28,NA,NA,NA,NA
"Derek Carr","LVR","QB","11644","weighted",4026.86628740546,257.503460353838,23.4265932259125,2.00812024272609,11.6158237421901,1.34525946779216,68.6636665570536,18.9865745147908,1.02372222353247,0.73430623908897,3.47416770799079,1.32418568928935,1.24416310424203,0.129755652624714,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,1991-03-28,NA,NA,NA,NA
"Russell Wilson","SEA","QB","10703","weighted",3805.24435711937,255.276322091319,29.6968760276225,3.07297259082871,8.5873890167708,1.22237175106051,365.996040118382,47.7422555359887,2.25718285570965,0.398769334403004,1.98038474186123,0.771090713343707,1.70466951660638,0.103804522099771,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1988-11-29,NA,NA,NA,NA
"Ryan Fitzpatrick","MIA","QB","8062","weighted",2493.13406445248,1132.93675379515,15.8361657349556,8.78216227293563,11.78888523512,7.08162062821987,139.163682999014,81.3245042383952,1.60106648280678,1.25619503022653,0.930413679710621,0.616551437709489,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,1982-11-24,NA,NA,NA,NA
"Sam Darnold","NYJ","QB","13592","weighted",3734.76835251562,194.448815550774,23.5742781979612,2.72443337508362,15.7401282472871,2.78236967048208,158.084377945851,51.5938346890098,1.68413669489573,0.50052568136302,2.73881091746136,0.558334943851285,0.963268661624466,0.07266316546984,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1997-06-05,NA,NA,NA,NA
"Andy Dalton","CIN","QB","10313","weighted",2711.77188753699,1756.46734853109,17.7124893127261,12.1440274213915,9.42461032555081,6.59420076890483,82.3725528883043,52.7738253300388,0.601808615586978,0.496465120233259,1.56021834922723,0.926185712707644,1.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,1987-10-29,NA,NA,NA,NA
"Andy Dalton","DAL","QB","10313","weighted",2711.77188753699,1756.46734853109,17.7124893127261,12.1440274213915,9.42461032555081,6.59420076890483,82.3725528883043,52.7738253300388,0.601808615586978,0.496465120233259,1.56021834922723,0.926185712707644,1.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,1987-10-29,NA,NA,NA,NA
"Nick Foles","JAC","QB","10699","weighted",3029.67712265702,1087.78186738242,18.0274876685301,7.47251197875717,10.9837323248931,4.27792875960609,60.7903847418612,36.1829036862874,0.78989194182014,0.498207144627257,3.07546070371588,0.879156640411306,0.755836895757974,0.129755652624714,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1989-01-20,NA,NA,NA,NA
"Nick Foles","CHI","QB","10699","weighted",3029.67712265702,1087.78186738242,18.0274876685301,7.47251197875717,10.9837323248931,4.27792875960609,60.7903847418612,36.1829036862874,0.78989194182014,0.498207144627257,3.07546070371588,0.879156640411306,0.755836895757974,0.129755652624714,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1989-01-20,NA,NA,NA,NA
"Cam Newton","CAR","QB","10273","weighted",3607.32944362565,363.914354363286,24.1556742815033,3.01105166249498,13.0651547531319,1.02770625332713,467.822560795873,83.4217000907581,4.3875978808408,0.88393227889083,1.99183032424466,0.71615297275064,1.48691967575534,0.276874984193575,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,1989-05-11,NA,NA,NA,NA
"Cam Newton","NE","QB","10273","weighted",3607.32944362565,363.914354363286,24.1556742815033,3.01105166249498,13.0651547531319,1.02770625332713,467.822560795873,83.4217000907581,4.3875978808408,0.88393227889083,1.99183032424466,0.71615297275064,1.48691967575534,0.276874984193575,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,1989-05-11,NA,NA,NA,NA
"Teddy Bridgewater","NO","QB","11640","weighted",1478.56288043478,1979.30459112917,8.92259420289855,11.7640540441169,5.25366666666667,6.60644780692182,43.4261951992754,65.3437626642894,0.329355525362319,0.492435181389002,0.226,0.179618126168558,0.233826086956522,0.131752794200926,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,1992-11-10,NA,NA,NA,NA
"Teddy Bridgewater","CAR","QB","11640","weighted",1478.56288043478,1979.30459112917,8.92259420289855,11.7640540441169,5.25366666666667,6.60644780692182,43.4261951992754,65.3437626642894,0.329355525362319,0.492435181389002,0.226,0.179618126168558,0.233826086956522,0.131752794200926,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,1992-11-10,NA,NA,NA,NA
"Mitchell Trubisky","CHI","QB","13115","weighted",3166.74373249816,1155.44479331537,21.8322365512159,8.03281981745232,10.4731208548268,3.60581661599626,291.561525423729,146.223374929322,2.15326861797419,1.05307586859204,1.35159450994842,0.855298186945872,2.09070007369197,0.620199964593607,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1994-08-20,NA,NA,NA,NA
"Daniel Jones","NYG","QB","14059","weighted",1754.04437356133,1686.38296648193,10.7608911542256,10.7963980727836,6.95205853337718,6.03116113020223,138.583334429464,141.71957436113,1.29346084986664,1.26388093966179,4.45892798421572,4.39208174805894,0.37601118053272,0.19982370504206,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1997-05-27,NA,NA,NA,NA
"Eli Manning","NYG","QB","7391","weighted",3605.55782885086,358.766510675812,19.4901124694377,1.58225919957702,10.9902298288509,1.65084126984957,18.7051990220049,6.30499378521536,0.692151647709153,0.407563915678475,3.13835370823146,1.55752025767224,1.28552078239609,0.00980675986782375,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,1981-01-03,NA,NA,NA,NA
"Eli Manning","FA","QB","7391","weighted",3605.55782885086,358.766510675812,19.4901124694377,1.58225919957702,10.9902298288509,1.65084126984957,18.7051990220049,6.30499378521536,0.692151647709153,0.407563915678475,3.13835370823146,1.55752025767224,1.28552078239609,0.00980675986782375,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,1981-01-03,NA,NA,NA,NA
"Ryan Tannehill","TEN","QB","10697","weighted",1571.44813768116,1767.02239476389,10.0017826086957,11.7450890461356,5.27338405797101,5.15459489616326,112.485358695652,122.02504739624,1.23492874396135,1.40495460968137,1.57875362318841,1.31574900049265,0.272797101449275,0.153711593234414,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1988-07-27,NA,NA,NA,NA
"Drew Lock","DEN","QB","14057","weighted",1669.35128985507,1751.65714716356,10.3107826086957,11.6607933587554,6.10833695652174,5.92481441432483,84.9782644927536,83.4286511165947,0.500347826086956,0.721770636546618,1.35560507246377,1.32983321079709,0.326382246376812,0.18390494190546,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1996-11-10,NA,NA,NA,NA
"Joe Flacco","DEN","QB","9064","weighted",2297.36242078113,1692.87711148032,12.9230029476787,9.7672715551353,7.80996683861459,5.68748357056654,37.8502321296979,29.0217415196578,0.419577652910833,0.499614233641295,1.00902358142962,0.853036045412856,1.1808861459101,0.124593742887109,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1985-01-16,"D","Neck",2019,0
"Joe Flacco","NYJ","QB","9064","weighted",2297.36242078113,1692.87711148032,12.9230029476787,9.7672715551353,7.80996683861459,5.68748357056654,37.8502321296979,29.0217415196578,0.419577652910833,0.499614233641295,1.00902358142962,0.853036045412856,1.1808861459101,0.124593742887109,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1985-01-16,"D","Neck",2019,0
"Jacoby Brissett","IND","QB","12616","weighted",2136.47695823742,1785.44530354064,12.4147813219336,10.5101523140764,6.25608681354818,5.60119911189683,149.235733859476,138.832924885932,1.01683656691878,1.12366256933605,1.00955475172641,0.868080841657396,1.34075961854653,0.350340262086728,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1992-12-11,NA,NA,NA,NA
"Gardner Minshew","JAC","QB","14067","weighted",1160.30301066448,1690.98373649853,6.65540196882691,10.3095625229287,3.90277686628384,4.86377029647346,126.701330130083,172.88144094369,0.5334817766319,0.737951761265281,2.53218949958983,2.7912348063162,0.271845775225595,0.165227344498519,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1996-05-16,NA,NA,NA,NA
"Marcus Mariota","TEN","QB","12141","weighted",2445.77811246301,1473.14134520197,12.8899309437685,7.96348681987306,8.2621243012167,5.49870543105358,240.970803463773,160.290999128402,1.67961196974679,1.18879469542638,1.2127642222953,0.629873666838968,0.807004274909569,0.155706783149657,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,1993-10-30,NA,NA,NA,NA
"Marcus Mariota","LVR","QB","12141","weighted",2445.77811246301,1473.14134520197,12.8899309437685,7.96348681987306,8.2621243012167,5.49870543105358,240.970803463773,160.290999128402,1.67961196974679,1.18879469542638,1.2127642222953,0.629873666838968,0.807004274909569,0.155706783149657,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,1993-10-30,NA,NA,NA,NA
